2026-03-28 00:32:04.699 | WARNING  | core.broker:error:48 - IBKR error reqId=1004 code=10089: Les données de marché demandées nécessitent une souscription supplémentaire pour les connexions API. Pour plus de détails, veuillez consulter le lien de la boître de dialogue « Connexions aux données de marché ».Des données de marché en différé sont disponibles.QQQ NASDAQ.NMS/TOP/ALL
2026-03-28 00:32:04.773 | WARNING  | core.broker:error:48 - IBKR error reqId=1009 code=321: Erreur de validation de la demande.-'bM' : cause - Please enter a local symbol or an expiry
2026-03-28 00:32:05.336 | DEBUG    | core.broker:historicalDataEnd:64 - Historical data complete for reqId=1010
2026-03-28 00:32:05.351 | DEBUG    | core.data_feed:fetch_historical:51 - Fetched 156 bars for AAPL (5 mins)
2026-03-28 00:32:06.197 | DEBUG    | core.broker:historicalDataEnd:64 - Historical data complete for reqId=1011
2026-03-28 00:32:06.200 | DEBUG    | core.data_feed:fetch_historical:51 - Fetched 156 bars for TSLA (5 mins)
2026-03-28 00:32:07.144 | DEBUG    | core.broker:historicalDataEnd:64 - Historical data complete for reqId=1012
2026-03-28 00:32:07.147 | DEBUG    | core.data_feed:fetch_historical:51 - Fetched 156 bars for SPY (5 mins)
2026-03-28 00:32:08.089 | DEBUG    | core.broker:historicalDataEnd:64 - Historical data complete for reqId=1013
2026-03-28 00:32:08.093 | DEBUG    | core.data_feed:fetch_historical:51 - Fetched 156 bars for QQQ (5 mins)
2026-03-28 00:32:08.710 | WARNING  | core.broker:error:48 - IBKR error reqId=1014 code=10285: Votre version d'API ne prend pas en charge les règles de taille en fractions. Veuillez mettre à jour à la version minimum 163.
2026-03-28 00:32:38.606 | ERROR    | core.broker:get_historical_data:187 - Timeout fetching historical data for EUR
2026-03-28 00:32:38.606 | WARNING  | core.data_feed:fetch_historical:41 - No historical data for EUR
2026-03-28 00:32:39.240 | WARNING  | core.broker:error:48 - IBKR error reqId=1015 code=10285: Votre version d'API ne prend pas en charge les règles de taille en fractions. Veuillez mettre à jour à la version minimum 163.
2026-03-28 00:33:09.134 | ERROR    | core.broker:get_historical_data:187 - Timeout fetching historical data for GBP
2026-03-28 00:33:09.135 | WARNING  | core.data_feed:fetch_historical:41 - No historical data for GBP
2026-03-28 00:33:09.652 | WARNING  | core.broker:error:48 - IBKR error reqId=1016 code=321: Erreur de validation de la demande.-'bI' : cause - Please enter a local symbol or an expiry
2026-03-28 00:33:39.658 | ERROR    | core.broker:get_historical_data:187 - Timeout fetching historical data for ES
2026-03-28 00:33:39.658 | WARNING  | core.data_feed:fetch_historical:41 - No historical data for ES
